product_id,old_name,category,price,base_price,status,amount,region,priority,user_id
P1000,Item_0,Electronics,780.35,1243.11,Completed,541.71,North,High,
P1001,Item_1,Furniture,1903.89,322.01,Pending,1586.5,South,Low,U501
P1002,Item_2,Grocery,1477.39,619.68,Completed,296.29,East,Medium,U502
P1003,Item_3,Clothing,1217.38,764.41,Cancelled,2746.1,West,High,U503
P1004,Item_4,Electronics,354.24,939.34,Completed,924.58,North,Low,U504
P1005,Item_5,Electronics,354.19,1581.09,Completed,2055.06,North,High,U505
P1006,Item_6,Furniture,163.26,439.36,Pending,1072.79,South,Low,
P1007,Item_7,Electronics,1739.04,1052.76,Completed,1656.19,East,Medium,U507
P1008,Item_8,Furniture,1222.17,1205.21,Cancelled,1730.79,West,High,U508
P1009,Item_9,Grocery,1430.74,140.58,Completed,717.59,North,Low,U509
P1010,Item_10,Clothing,90.14,1234.71,Completed,2914.84,North,High,U510
P1011,Item_11,Electronics,1941.32,382.52,Pending,2370.37,South,Low,U511
P1012,Item_12,Electronics,1673.26,176.85,Completed,2830.6,East,Medium,
P1013,Item_13,Furniture,464.06,1900.33,Cancelled,2705.52,West,High,U513
P1014,Item_14,Electronics,404.56,1932.98,Completed,1874.12,North,Low,U514
P1015,Item_15,Furniture,407.64,1626.37,Completed,2781.25,North,High,U515
P1016,Item_16,Grocery,643.27,644.0,Pending,447.78,South,Low,U516
P1017,Item_17,Clothing,1073.28,240.46,Completed,748.75,East,Medium,U517
P1018,Item_18,Electronics,892.29,1384.25,Cancelled,326.64,West,High,
P1019,Item_19,Electronics,617.9,908.3,Completed,1110.92,North,Low,U519
