order_item_id,order_id,product_id,quantity,unit_price,discount_percent,is_return,discount_valid
1,851,550,1,782.02,54.17,False,True
2,263,331,2,1197.09,51.12,False,True
3,402,129,3,567.75,5.69,False,True
4,828,290,4,630.42,18.07,False,True
5,1456,474,5,1900.93,25.32,False,True
6,1355,149,1,1871.1,37.91,False,True
7,406,187,-1,2089.27,23.81,True,True
8,24,493,7,1133.0,37.28,False,True
9,1118,451,6,846.45,15.32,False,True
10,999,468,6,1909.36,46.92,False,True
11,874,27,4,2437.84,7.22,False,True
12,1460,303,8,1093.23,4.98,False,True
13,1034,187,4,358.56,46.55,False,True
14,407,363,1,2001.65,13.83,False,True
15,1088,171,3,1589.09,13.58,False,True
16,1467,156,7,2146.45,57.54,False,True
17,821,304,7,2234.89,8.17,False,True
18,615,1,5,525.84,35.64,False,True
19,137,61,8,2056.99,48.42,False,True
20,497,401,7,1480.58,21.02,False,True
21,464,283,3,518.55,16.53,False,True
22,671,12,2,1930.29,13.93,False,True
23,898,306,8,388.42,45.26,False,True
24,1475,350,1,956.85,6.77,False,True
25,956,437,8,1897.36,6.18,False,True
26,1499,372,8,2092.59,25.3,False,True
27,1307,108,5,2262.3,19.73,False,True
28,1366,258,2,1784.17,35.15,False,True
29,454,445,8,1403.87,22.55,False,True
30,1063,392,2,1441.19,45.84,False,True
31,739,432,1,871.52,51.13,False,True
32,1175,536,7,1674.33,34.02,False,True
33,50,337,1,1824.0,15.21,False,True
34,1399,353,5,1117.79,27.49,False,True
35,1301,270,6,1853.06,46.86,False,True
36,353,512,4,794.75,54.85,False,True
37,186,416,3,1892.63,51.36,False,True
38,995,360,6,1888.15,19.37,False,True
39,229,195,5,1893.14,23.88,False,True
40,1425,78,7,2131.26,20.41,False,True
41,725,407,5,1535.48,19.43,False,True
42,461,454,3,1670.47,29.67,False,True
43,1424,225,4,367.71,57.88,False,True
44,1254,495,4,1033.75,34.85,False,True
45,1285,397,6,2009.55,22.21,False,True
46,481,328,3,807.55,42.15,False,True
47,1103,132,8,1340.72,49.58,False,True
48,467,357,4,1165.89,3.19,False,True
49,1268,449,3,60.18,39.02,False,True
50,712,489,6,168.2,34.19,False,True
51,1491,29,3,2465.59,27.13,False,True
52,1103,312,7,364.86,40.88,False,True
53,645,7,6,1470.68,4.26,False,True
