order_item_id,order_id,product_id,quantity,unit_price,discount_percent
1,851,550,1,782.02,54.17
2,263,331,2,1197.09,51.12
3,402,129,3,567.75,5.69
4,828,290,4,630.42,18.07
5,1456,474,5,1900.93,25.32
6,1355,149,1,1871.1,37.91
7,406,187,-1,2089.27,23.81
8,24,493,7,1133.0,37.28
9,1118,451,6,846.45,15.32
10,999,468,6,1909.36,46.92
11,874,27,4,2437.84,7.22
12,1460,303,8,1093.23,4.98
13,1034,187,4,358.56,46.55
14,407,363,1,2001.65,13.83
15,1088,171,3,1589.09,13.58
16,1467,156,7,2146.45,57.54
17,821,304,7,2234.89,8.17
18,615,1,5,525.84,35.64
19,137,61,8,2056.99,48.42
20,497,401,7,1480.58,21.02
21,464,283,3,518.55,16.53
22,671,12,2,1930.29,13.93
23,898,306,8,388.42,45.26
24,1475,350,1,956.85,6.77
25,956,437,8,1897.36,6.18
26,1499,372,8,2092.59,25.3
27,1307,108,5,2262.3,19.73
28,1366,258,2,1784.17,35.15
29,454,445,8,1403.87,22.55
30,1063,392,2,1441.19,45.84
31,739,432,1,871.52,51.13
32,1175,536,7,1674.33,34.02
33,50,337,1,1824.0,15.21
34,1399,353,5,1117.79,27.49
35,1301,270,6,1853.06,46.86
36,353,512,4,794.75,54.85
37,186,416,3,1892.63,51.36
38,995,360,6,1888.15,19.37
39,229,195,5,1893.14,23.88
40,1425,78,7,2131.26,20.41
41,725,407,5,1535.48,19.43
42,461,454,3,1670.47,29.67
43,1424,225,4,367.71,57.88
44,1254,495,4,1033.75,34.85
45,1285,397,6,2009.55,22.21
46,481,328,3,807.55,42.15
47,1103,132,8,1340.72,49.58
48,467,357,4,1165.89,3.19
49,1268,449,3,60.18,39.02
50,712,489,6,168.2,34.19
51,1491,29,3,2465.59,27.13
52,1103,312,7,364.86,40.88
53,645,7,6,1470.68,4.26
54,131,543,4,625.75,45.53
55,368,186,-4,1823.02,5.65
56,827,397,8,350.58,5.75
57,728,182,8,231.38,12.04
58,720,84,5,55.9,58.92
59,122,383,0,2462.9,19.61
60,628,29,6,2149.1,11.31
61,1272,511,6,246.93,9.28
62,5565,182,3,1270.79,26.71
63,1275,40,2,2018.98,17.49
64,715,185,2,1246.64,59.84
65,691,466,7,1961.24,40.12
66,135,347,8,474.91,21.5
67,984,102,6,2280.11,42.13
68,1069,404,5,804.19,11.88
69,1283,437,8,64.47,33.68
70,1249,399,5,1928.25,31.65
71,86,193,3,1604.13,32.06
72,97,311,1,2060.25,26.03
73,1042,537,1,2277.1,57.0
74,454,328,4,1430.01,2.71
75,782,211,5,16.82,48.82
76,678,182,6,2294.37,9.36
77,1227,253,7,1702.59,54.13
78,635,210,5,1025.96,49.41
79,773,285,8,637.3,41.55
80,86,460,2,1595.8,54.13
81,1001,69,5,2388.52,41.7
82,584,550,5,275.69,49.37
83,414,89,3,1297.97,28.73
84,229,235,2,1907.54,14.51
85,1261,380,1,1658.88,58.47
86,431,326,3,856.66,55.31
87,718,474,7,953.19,30.34
88,462,189,8,68.15,50.61
89,1233,542,6,146.5,24.6
90,1095,18,6,929.08,6.23
91,479,7,7,1922.9,13.47
92,1287,37,8,2343.34,16.95
93,1262,397,8,1533.46,59.28
94,932,491,6,563.48,43.86
95,796,264,1,1082.18,2.55
96,841,233,6,524.21,53.02
97,944,464,6,847.81,7.99
98,1086,211,4,2370.27,47.05
99,745,475,7,940.17,23.57
100,964,112,7,131.96,33.1
101,321,394,8,64.47,34.04
102,353,280,3,1604.89,48.05
103,309,422,3,1907.74,36.62
104,1255,544,2,1968.47,0.52
105,109,340,6,511.5,12.78
106,9386,68,8,1190.34,17.38
107,208,164,7,300.51,24.58
108,1151,481,4,2440.43,8.8
109,912,100,7,1184.67,46.03
110,1201,372,3,1121.1,29.51
111,1376,353,6,176.88,18.01
112,807,154,4,2404.13,42.68
113,171,364,1,1556.55,59.5
114,748,259,1,1226.57,3.12
115,490,314,6,105.94,45.59
116,939,83,1,1837.93,22.84
117,9909,482,5,1743.66,48.19
118,870,417,6,1799.2,29.33
119,547,86,2,2014.66,51.69
120,233,24,2,611.19,3.9
121,1172,243,1,1809.15,20.47
122,1265,73,8,1579.35,39.9
123,1255,125,2,468.01,5.5
124,887,239,7,804.41,28.56
125,405,508,5,1830.25,51.65
126,907,190,4,661.84,34.53
127,388,127,3,2122.3,13.66
128,809,304,5,549.55,20.69
129,494,544,-3,707.22,3.7
130,1012,353,7,204.48,42.97
131,25,91,6,1746.7,57.56
132,1166,269,6,1856.77,29.98
133,1002,321,4,1470.14,21.17
134,953,473,7,1161.74,27.13
135,291,395,3,1971.72,52.22
136,306,410,3,381.84,13.02
137,34,401,4,59.09,18.21
138,1126,285,8,1084.98,9.59
139,1364,62,6,1766.53,8.49
140,1063,507,1,2392.36,20.31
141,5044,440,5,856.04,41.31
142,263,379,1,1120.46,12.57
143,669,240,8,1968.08,34.63
144,679,200,4,1771.72,48.8
145,511,501,6,1279.85,45.01
146,1278,330,5,171.98,11.59
147,566,147,8,620.23,19.63
148,1272,495,6,1214.32,52.99
149,410,193,2,742.57,53.09
150,1073,517,7,1753.11,17.89
151,419,148,7,201.38,54.59
152,303,458,8,1897.36,16.41
153,566,203,3,1468.27,1.02
154,108,335,6,2080.35,1.53
155,890,332,1,1610.83,45.39
156,81,524,3,1244.21,8.39
157,210,536,2,1887.88,20.29
158,846,352,1,1314.07,23.76
159,318,92,2,1908.1,13.64
160,116,25,4,1199.34,45.51
161,313,141,7,53.04,29.53
162,1372,425,1,526.05,0.43
163,1438,83,3,995.97,0.44
164,1286,289,7,403.86,36.46
165,686,201,2,1627.9,26.73
166,1335,525,2,108.94,44.57
167,422,205,5,2083.16,53.2
168,622,370,4,1419.28,15.14
169,1047,25,3,2151.59,56.81
170,796,336,3,2302.44,35.8
171,1367,255,1,2132.44,51.43
172,562,1,3,247.6,38.75
173,867,382,1,747.19,7.2
174,291,270,4,305.21,57.15
175,63,488,4,1140.84,41.7
176,560,277,-5,1201.91,9.2
177,134,408,8,1084.06,10.5
178,28,46,5,1776.2,12.16
179,548,25,4,590.87,0.12
