product_id,product_name,category,subcategory,cost_price
1,Dream Kid,Clothing,Kids,1916.66
2,SMALL WOMEN,Clothing,Women,515.66
3,Read Winterwear,Clothing,Winterwear,1519.51
4,Time Laptop,Electronics,Laptops,1257.76
5,Play Children,Books,Children,900.57
6,Without Decor,Home,Decor,141.23
7,Activity Academic,Books,Academic,1184.88
8,PROTECT STORAGE,Home,Storage,926.18
9,Star Mobile,Electronics,Mobiles,577.72
10,Project Audio,Electronics,Audio,772.04
11,Idea Camera,Electronics,Cameras,1145.46
12,Arm Kid,Clothing,Kids,1005.23
13,FOCUS CAMERA,Electronics,Cameras,1798.76
14,Need Kitchen,Home,Kitchen,349.26
15,Analysis Footwear,Clothing,Footwear,1050.52
16,From Kid,Clothing,Kids,569.37
17,Notice Academic,Books,Academic,109.47
18,Other Kitchen,Home,Kitchen,1118.14
19,Citizen Academic,Books,Academic,1703.87
20,GENERAL KID,Clothing,Kids,1328.91
21,Morning Decor,Home,Decor,1398.47
22,Save Non-Fiction,Books,Non-Fiction,1876.31
23,Do Storage,Home,Storage,1584.37
24,CLAIM WINTERWEAR,Clothing,Winterwear,1342.56
25,Apply Kitchen,Home,Kitchen,364.62
26,Report Kid,Clothing,Kids,975.11
27,Sign Women,Clothing,Women,595.11
28,Increase Audio,Electronics,Audio,1671.06
29,Like Accessorie,Electronics,Accessories,1237.97
30,Soldier Non-Fiction,Books,Non-Fiction,1663.53
31,  Physical Footwear  ,Clothing,Footwear,731.78
32,Parent Footwear,Clothing,Footwear,1506.02
33,Mother Non-Fiction,Books,Non-Fiction,622.39
34,Believe Non-Fiction,Books,Non-Fiction,1894.52
35,Doctor Comic,Books,Comics,1557.36
36,Lay Non-Fiction,Books,Non-Fiction,1603.51
37,  Figure Kid  ,Clothing,Kids,963.78
38,Stop Storage,Home,Storage,1424.24
39,INDEED ACCESSORIE,Electronics,Accessories,324.82
40,CHOOSE CHILDREN,Books,Children,877.76
41,Cause Footwear,Clothing,Footwear,1861.29
42,Great Fiction,Books,Fiction,751.05
43,Beautiful Fiction,Books,Fiction,61.23
44,Maybe Accessorie,Electronics,Accessories,279.51
45,Owner Bedding,Home,Bedding,281.89
46,Skill Comic,Books,Comics,1812.19
47,Appear Accessorie,Electronics,Accessories,303.29
48,Official Fiction,Books,Fiction,479.09
49,Inside Mobile,Electronics,Mobiles,1279.71
50,EVERYBODY FICTION,Books,Fiction,1810.77
51,Bed Audio,Electronics,Audio,1438.5
52,  Inside Bedding  ,Home,Bedding,708.87
53,More Non-Fiction,Books,Non-Fiction,175.8
54,Leader Kitchen,Home,Kitchen,1090.44
